"state","yr","dln_icrisat"
"Chhattisgarh",2016,0.0613547837814981
"Gujarat",1967,-0.4643729709377
"Gujarat",1968,0.0736470807144602
"Gujarat",1969,-0.00441028189673087
"Gujarat",1970,-0.155495509161931
"Gujarat",1971,0.087406712041231
"Gujarat",1972,0.294976376083419
"Gujarat",1973,0.265223822709458
"Gujarat",1974,0.0751376866749167
"Gujarat",1975,-0.403488379836983
"Gujarat",1976,0.0922535868965184
"Gujarat",1977,0.103702249207109
"Gujarat",1978,-0.0078674660913558
"Gujarat",1979,0.0704631883363698
"Gujarat",1980,0.173052341462403
"Gujarat",1981,0.0577608574471009
"Gujarat",1982,0.128535945176954
"Gujarat",1983,-0.123153410844606
"Gujarat",1984,0.10923220804372
"Gujarat",1985,0.17359562699086
"Gujarat",1986,0.0244558798870589
"Gujarat",1987,0.126435667951321
"Gujarat",1988,-0.0589299645434291
"Gujarat",1989,0.0451747860574088
"Gujarat",1990,0.251048180892336
"Gujarat",1991,0.150762434506699
"Gujarat",1992,-0.0470153103453654
"Gujarat",1993,0.186325036855115
"Gujarat",1994,-0.0151920886171268
"Gujarat",1995,0.0707064737983174
"Gujarat",1996,0.259148893049166
"Gujarat",1997,-0.0746286633673723
"Gujarat",1998,0.093639629453186
"Gujarat",1999,0.0710450984891429
"Gujarat",2000,0.00896253276857273
"Gujarat",2001,0.0597397027825535
"Gujarat",2002,0.0120572422529559
"Gujarat",2003,-0.00177997957455656
"Gujarat",2004,0.00887350112990504
"Gujarat",2005,0.0355917325386885
"Gujarat",2006,0.183761169416671
"Gujarat",2007,0.0352693189988393
"Gujarat",2008,0.0564075599978935
"Gujarat",2009,0.204921493464376
"Gujarat",2010,-0.0247304226543834
"Gujarat",2011,-0.00656382900226404
"Gujarat",2012,0.202903271518474
"Gujarat",2013,0.0791247326795927
"Gujarat",2014,-0.0505839826716201
"Gujarat",2015,-0.00953698541615644
"Gujarat",2016,0.039042114820627
"Haryana",1967,-0.220786179921859
"Haryana",1968,0.0326707822895482
"Haryana",1969,0.0465200156348935
"Haryana",1970,-0.0953101798043257
"Haryana",1971,0.0653194661206431
"Haryana",1972,0.140096446475953
"Haryana",1973,0.215992845908705
"Haryana",1974,-0.00352113039857915
"Haryana",1975,-0.135128367118157
"Haryana",1976,0.0356944701299708
"Haryana",1977,0.0375960174262788
"Haryana",1978,0.0374391685166353
"Haryana",1979,0.0996817714658205
"Haryana",1980,0.0576308576551803
"Haryana",1981,0.133106657594873
"Haryana",1982,0.0163564445514863
"Haryana",1983,0.0339902002285513
"Haryana",1984,0.012771565679488
"Haryana",1985,-0.0102041701742417
"Haryana",1986,0.0984133630548403
"Haryana",1987,0.0513320233045009
"Haryana",1988,0.0812306585981384
"Haryana",1989,0.0788939424696631
"Haryana",1990,0.156923366188344
"Haryana",1991,0.190239395410247
"Haryana",1992,0.450254999162482
"Haryana",1993,0.0674146738376065
"Haryana",1994,0.0304235632851055
"Haryana",1995,0.0875696935198107
"Haryana",1996,-0.0308168769273616
"Haryana",1997,0.239821603023977
"Haryana",1998,-0.310631005437326
"Haryana",1999,0.0846275856343537
"Haryana",2000,-0.00454491871923768
"Haryana",2001,0.0211133450664702
"Haryana",2002,0.040709312115494
"Haryana",2003,0.00740993622870434
"Haryana",2004,0.0649578962747732
"Haryana",2005,0.0268889002163304
"Haryana",2006,0.556208629613809
"Haryana",2007,0.100306321511117
"Haryana",2008,0.1264076401045
"Haryana",2009,0.117459960949891
"Haryana",2010,-0.0690274311109462
"Haryana",2011,-0.183877977341613
"Haryana",2012,0.35442943401315
"Haryana",2013,0.113848184949129
"Haryana",2014,0.0478211268254904
"Haryana",2015,0.257809791416635
"Haryana",2016,-0.222784420407136
"Himachal Pradesh",1967,-0.0199706172314196
"Himachal Pradesh",1968,-0.13346995410296
"Himachal Pradesh",1969,0.0651363256569244
"Himachal Pradesh",1970,-0.0242163649827507
"Himachal Pradesh",1971,-0.0683438132162406
"Himachal Pradesh",1972,0.256081470492799
"Himachal Pradesh",1973,0.212432938471606
"Himachal Pradesh",1974,0.00328652872868673
"Himachal Pradesh",1975,-0.116561673213154
"Himachal Pradesh",1976,-0.024367183651453
"Himachal Pradesh",1977,-0.00692802632289169
"Himachal Pradesh",1978,0.0215787472360285
"Himachal Pradesh",1979,0.116582163808131
"Himachal Pradesh",1980,0.0464672483931725
"Himachal Pradesh",1981,0.0895745762181823
"Himachal Pradesh",1982,0.163367792693338
"Himachal Pradesh",1983,-0.0121539754569415
"Himachal Pradesh",1984,0.114224344106977
"Himachal Pradesh",1985,-0.00425380579096846
"Himachal Pradesh",1986,0.0331771270046843
"Himachal Pradesh",1987,0.0725220527681474
"Himachal Pradesh",1988,0.0568137335772017
"Himachal Pradesh",1989,0.0491322122290576
"Himachal Pradesh",1990,0.0957098270643337
"Himachal Pradesh",1991,0.127227564397645
"Himachal Pradesh",1992,0.0640983596417088
"Himachal Pradesh",1993,0.161658663814499
"Himachal Pradesh",1994,-0.0302202361399244
"Himachal Pradesh",1995,0.118515808284531
"Himachal Pradesh",1996,0.0135114556196765
"Himachal Pradesh",1997,0.0917141436860831
"Himachal Pradesh",1998,0.127571042022547
"Himachal Pradesh",1999,0.0738445324312149
"Himachal Pradesh",2000,0.111625288749061
"Himachal Pradesh",2001,-0.0338648099333838
"Himachal Pradesh",2002,0.0228830469640098
"Himachal Pradesh",2003,0.0225027802928484
"Himachal Pradesh",2004,-0.00139076990539522
"Himachal Pradesh",2005,0.0427866615979777
"Himachal Pradesh",2006,0.110853235254881
"Himachal Pradesh",2007,0.0940347481447263
"Himachal Pradesh",2008,0.0680317950074008
"Himachal Pradesh",2009,0.213481640402473
"Himachal Pradesh",2010,0.679934056854487
"Himachal Pradesh",2011,-0.0226454806846137
"Himachal Pradesh",2012,-0.134020295966569
"Himachal Pradesh",2013,0.381120184666747
"Himachal Pradesh",2014,-0.561501341460666
"Himachal Pradesh",2015,0.0523511107567263
"Himachal Pradesh",2016,0.0932822160696425
"Jharkhand",1967,-0.265290461353902
"Jharkhand",1968,-0.0272156620470447
"Jharkhand",1969,0.0684620633722339
"Jharkhand",1970,-0.0933986800024211
"Jharkhand",1971,-0.0441654266523388
"Jharkhand",1972,0.253030230555139
"Jharkhand",1973,0.504095565191947
"Jharkhand",1974,-0.206774411272471
"Jharkhand",1975,-0.274574597591148
"Jharkhand",1976,0.0578523027916331
"Jharkhand",1977,-0.0410842435233656
"Jharkhand",1978,-0.0495919777503016
"Jharkhand",1979,0.183556171623974
"Jharkhand",1980,0.159465832556926
"Jharkhand",1981,0.155133547507337
"Jharkhand",1982,0.105531232792144
"Jharkhand",1983,-0.160803335014921
"Jharkhand",1984,-0.00402920856417577
"Jharkhand",1985,0.0184115632940101
"Jharkhand",1986,0.0414586913047703
"Jharkhand",1987,0.140168132721538
"Jharkhand",1988,0.0790186286843024
"Jharkhand",1989,-0.026317308317374
"Jharkhand",1990,0.229754814501451
"Jharkhand",1991,0.26310127469616
"Jharkhand",1992,-0.0691332125158812
"Jharkhand",1993,0.0346556532345268
"Jharkhand",1994,0.0872125938226267
"Jharkhand",1995,0.0476524286950468
"Jharkhand",1998,0.320350078193717
"Jharkhand",1999,-0.0739343459704571
"Jharkhand",2007,0.166768416286499
"Jharkhand",2012,0.122402752775131
"Jharkhand",2013,0.0808966641053397
"Jharkhand",2014,0.0197437109814311
"Jharkhand",2015,0.0383551085156517
"Jharkhand",2016,0.0494036234856461
"Karnataka",1967,-0.030712492051272
"Karnataka",1968,-0.05472450857543
"Karnataka",1969,-0.212231005474041
"Karnataka",1970,0.072191412025167
"Karnataka",1971,-0.0304153124940605
"Karnataka",1972,0.308470906756227
"Karnataka",1973,0.421004726110819
"Karnataka",1974,-0.176443176764589
"Karnataka",1975,-0.348464506539575
"Karnataka",1976,0.267060788952176
"Karnataka",1977,-0.0247586423551462
"Karnataka",1978,-0.00694272547749097
"Karnataka",1979,0.0977488252733512
"Karnataka",1980,0.219235181888677
"Karnataka",1981,0.00973332723534614
"Karnataka",1982,0.112696443285561
"Karnataka",1983,0.0642578844565156
"Karnataka",1984,-0.142720735938917
"Karnataka",1985,0.246652444407468
"Karnataka",1986,0.00690527213617731
"Karnataka",1987,-0.0247158242196726
"Karnataka",1988,0.189961780223372
"Karnataka",1989,-0.166338852287345
"Karnataka",1990,0.292971503220711
"Karnataka",1991,0.244657195356448
"Karnataka",1992,-0.0249458611894466
"Karnataka",1993,-0.00854987122123774
"Karnataka",1994,0.0620999491795802
"Karnataka",1995,0.136707597022265
"Karnataka",1996,0.121206154033662
"Karnataka",1997,0.0162540743952633
"Karnataka",1998,0.138410348058245
"Karnataka",1999,-0.0193360841522834
"Karnataka",2000,-0.0231565398126277
"Karnataka",2001,0.0161602496206745
"Karnataka",2002,0.0667545530914531
"Karnataka",2003,0.0468151614113781
"Karnataka",2004,0.0859690103464246
"Karnataka",2005,0.00602878408574536
"Karnataka",2006,0.157897240683533
"Karnataka",2007,0.0536735068008154
"Karnataka",2008,0.0289581509555381
"Karnataka",2009,0.199204057521405
"Karnataka",2010,0.0208563270502431
"Karnataka",2011,0.0217032873685525
"Karnataka",2012,0.278960947647279
"Karnataka",2013,-0.083996997438148
"Karnataka",2014,0.036204987367956
"Karnataka",2015,0.0205694890141777
"Karnataka",2016,0.076841973345199
"Madhya Pradesh",1967,0.344043743587424
"Madhya Pradesh",1968,-0.038961430622213
"Madhya Pradesh",1969,-0.010902868715303
"Madhya Pradesh",1970,-0.0727485003485064
"Madhya Pradesh",1971,0.00977119884032884
"Madhya Pradesh",1972,0.178348935032413
"Madhya Pradesh",1973,0.356423791269553
"Madhya Pradesh",1974,0.287365958698421
"Madhya Pradesh",1975,-0.37328278864408
"Madhya Pradesh",1976,0.0353445244564394
"Madhya Pradesh",1977,0.0478051376062592
"Madhya Pradesh",1978,-0.0453454056796376
"Madhya Pradesh",1979,0.232478179598282
"Madhya Pradesh",1980,0.0356372921661041
"Madhya Pradesh",1981,-0.00489227641620271
"Madhya Pradesh",1982,0.191292113798797
"Madhya Pradesh",1983,-0.0386333696386645
"Madhya Pradesh",1984,0.017588100562163
"Madhya Pradesh",1985,0.0926030641112385
"Madhya Pradesh",1986,0.0736781634035992
"Madhya Pradesh",1987,0.0770548067138837
"Madhya Pradesh",1988,0.150702557666452
"Madhya Pradesh",1989,0.000158631609376236
"Madhya Pradesh",1990,0.0813249203407755
"Madhya Pradesh",1991,0.231436124336974
"Madhya Pradesh",1992,0.00533202054464965
"Madhya Pradesh",1993,0.133559850627626
"Madhya Pradesh",1994,0.0747934862024904
"Madhya Pradesh",1995,0.226516970847878
"Madhya Pradesh",1996,0.125584486413356
"Madhya Pradesh",1997,-0.0496222480338506
"Madhya Pradesh",1998,-0.209741998787916
"Madhya Pradesh",1999,0.123631369378987
"Madhya Pradesh",2000,-0.0366642626479097
"Madhya Pradesh",2001,0.036581546241063
"Madhya Pradesh",2002,0.0243585070251839
"Madhya Pradesh",2003,-0.0412787956743541
"Madhya Pradesh",2004,0.313502488175294
"Madhya Pradesh",2005,0.121488963800539
"Madhya Pradesh",2006,0.0760475633694844
"Madhya Pradesh",2007,0.0972369393522365
"Madhya Pradesh",2008,0.13494384697743
"Madhya Pradesh",2009,0.0397355697538364
"Madhya Pradesh",2010,0.0163654243865441
"Madhya Pradesh",2011,-0.0127802983290239
"Madhya Pradesh",2012,0.111932632779516
"Madhya Pradesh",2013,0.137220708367891
"Madhya Pradesh",2014,0.184174601694274
"Madhya Pradesh",2015,0.185961766542757
"Madhya Pradesh",2016,-0.185040827331305
"Maharashtra",1967,0.0619203387340308
