"state","yr","gva"
"Delhi",1987,57198
"Delhi",1988,65682
"Delhi",1989,70431
"Delhi",1991,123863
"Delhi",1992,132813
"Delhi",1993,166172
"Delhi",1994,310514
"Delhi",1995,252156
"Delhi",1996,236087
"Delhi",1997,323830
"Delhi",1998,258915
"Delhi",1999,323520
"Delhi",2000,230267
"Delhi",2001,243843
"Delhi",2002,291664
"Delhi",2003,234065
"Delhi",2004,279529
"Delhi",2005,306329
"Delhi",2006,347178
"Delhi",2007,397778
"Delhi",2008,382383
"Delhi",2009,417077
"Delhi",2010,632782
"Delhi",2011,661287
"Delhi",2012,852465
"Delhi",2013,844299
"Delhi",2014,874999
"Delhi",2015,836194
"Delhi",2016,684411
"Delhi",2017,627434
"Delhi",2018,607530
"Delhi",2019,651052
"Delhi",2020,616488
"Delhi",2021,619301
"Delhi",2022,674799
"Delhi",2023,719157
"Puducherry",1980,2390
"Puducherry",1981,2344
"Puducherry",1982,2480
"Puducherry",1983,2879
"Puducherry",1984,1835
"Puducherry",1985,1329
"Puducherry",1986,4281
"Puducherry",1987,5806
"Puducherry",1988,5876
"Puducherry",1989,8932
"Puducherry",1991,14792
"Puducherry",1992,17910
"Puducherry",1993,22682
"Puducherry",1994,22967
"Puducherry",1995,24420
"Puducherry",1996,103884
"Puducherry",1997,106526
"Puducherry",1998,112994
"Puducherry",1999,106550
"Puducherry",2000,145016
"Puducherry",2001,173742
"Puducherry",2002,202918
"Puducherry",2003,224700
"Puducherry",2004,171392
"Puducherry",2005,327895
"Puducherry",2006,276938
"Puducherry",2007,292685
"Puducherry",2008,329735
"Puducherry",2009,414133
"Puducherry",2010,387421
"Puducherry",2011,414370
"Puducherry",2012,245552
"Puducherry",2013,449417
"Puducherry",2014,347015
"Puducherry",2015,512566
"Puducherry",2016,546734
"Puducherry",2017,560994
"Puducherry",2018,751605
"Puducherry",2019,614953
"Puducherry",2020,742820
"Puducherry",2021,677681
"Puducherry",2022,649450
"Puducherry",2023,789106
"Mizoram",2019,3113
"Mizoram",2020,1959
"Mizoram",2021,2637
"Mizoram",2022,2371
"Mizoram",2023,2338
"Ladakh",2019,15951
"Ladakh",2020,15246
"Ladakh",2021,-434
"Ladakh",2023,727
"Dadra & Nagar Haveli & Daman & Diu",2020,2618627
"Dadra & Nagar Haveli & Daman & Diu",2021,3155914
"Dadra & Nagar Haveli & Daman & Diu",2022,3112712
"Dadra & Nagar Haveli & Daman & Diu",2023,3307237
"Lakshadweep",2023,25
