"state","yr","dln_cpi"
"Bihar",2010,0.0903033675001002
"Bihar",2011,0.0508170673877793
"Bihar",2012,0.0654584844039263
"Bihar",2013,0.12135264678994
"Bihar",2014,0.0901137962924912
"Bihar",2015,0.0031349807968919
"Bihar",2016,0.0122135404620467
"Bihar",2017,-0.00194875971571307
"Bihar",2018,0.00515022597631543
"Bihar",2019,0.096243741409392
"Bihar",2020,0.0420281097945088
"Bihar",2021,0.0555886589299455
"Bihar",2022,0.0876381004997402
"Bihar",2023,0.0587174246144757
"Bihar",2024,0.197638260905848
"Gujarat",1971,-0.000477668984482094
"Gujarat",1972,0.133949365462374
"Gujarat",1973,0.176173710128408
"Gujarat",1974,0.156350680714593
"Gujarat",1975,0.168896511660017
"Gujarat",1976,-0.234214479429969
"Gujarat",1977,0.0629177265936036
"Gujarat",1978,0.0385966304767447
"Gujarat",1979,0.0301759303713158
"Gujarat",1980,0.124552617140327
"Gujarat",1981,0.140655006127172
"Gujarat",1982,0.013035765319878
"Gujarat",1983,0.0983936279979787
"Gujarat",1984,0.0568483578670165
"Gujarat",1985,0.0690049904221821
"Gujarat",1986,0.0705751502980805
"Gujarat",1987,0.0625107749495601
"Gujarat",1988,0.0835895184100766
"Gujarat",1989,0.0425254608301042
"Gujarat",1990,0.0843238200640322
"Gujarat",1991,0.152808882650146
"Gujarat",1992,0.230839537608506
"Gujarat",1993,-0.0334323162663708
"Gujarat",1994,0.122041301280707
"Gujarat",1995,0.125825052720161
"Gujarat",1997,0.049624112320533
"Gujarat",1998,0.103467092329365
"Gujarat",1999,0.0374511852889139
"Gujarat",2000,0.04279164913223
"Gujarat",2001,0.0219035013423365
"Gujarat",2002,0.0163110412314964
"Gujarat",2003,0.0363126129406375
"Gujarat",2004,0.0179167880250954
"Gujarat",2005,0.0479674097499645
"Gujarat",2006,-0.553576790718655
"Gujarat",2007,0.00763362485507191
"Gujarat",2008,0.0493903442414636
"Gujarat",2009,0.130025253295235
"Gujarat",2010,0.122769560156105
"Gujarat",2011,0.0670778239632872
"Gujarat",2012,0.0852114457317921
"Gujarat",2013,0.127111566355763
"Gujarat",2014,0.069671315267378
"Gujarat",2015,0.0559984016457449
"Gujarat",2016,0.0589983407619554
"Gujarat",2017,-0.000279056789866949
"Gujarat",2018,0.00861475384721988
"Gujarat",2019,0.0934469972525891
"Gujarat",2020,0.0371054191829714
"Gujarat",2021,0.0567985915882572
"Gujarat",2022,0.0717015480307968
"Gujarat",2023,0.057806773591615
"Gujarat",2024,0.21667278190422
"Haryana",1997,0.0882736315435579
"Haryana",1998,0.0969067517160918
"Haryana",1999,0.0333043027357762
"Haryana",2000,0.0110379368077318
"Haryana",2001,0.0232876361294956
"Haryana",2002,0.0209662138365703
"Haryana",2003,0.020535643691332
"Haryana",2004,0.0577716371839507
"Haryana",2005,0.0403860871152464
"Haryana",2006,0.0587495040721899
"Haryana",2007,0.0874402854242558
"Haryana",2008,0.107245530353597
"Haryana",2009,0.131344150658918
"Haryana",2010,0.143007945689006
"Haryana",2011,0.0700837059045396
"Haryana",2012,0.0855611412025965
"Haryana",2013,0.105831290320474
"Haryana",2014,0.0758775448214086
"Haryana",2015,0.0468638474479457
"Haryana",2016,0.0383662722062796
"Haryana",2017,0.0369485274751966
"Haryana",2018,0.0151403346314112
"Haryana",2019,0.068007328815872
"Haryana",2020,0.023432550486465
"Haryana",2021,0.0668879607785664
"Haryana",2022,0.0686983052810675
"Haryana",2023,0.0450069454484492
"Haryana",2024,0.211938808984043
"Himachal Pradesh",1997,0.0738472499517497
"Himachal Pradesh",1998,0.102678957390345
"Himachal Pradesh",1999,0.0599586091375759
"Himachal Pradesh",2000,0.0191188588579445
"Himachal Pradesh",2001,-0.00283045759304912
"Himachal Pradesh",2002,0.0251902488285589
"Himachal Pradesh",2003,0.0440671379356923
"Himachal Pradesh",2004,0.0271344589108145
"Himachal Pradesh",2005,0.0259160845796078
"Himachal Pradesh",2006,0.0671686184643257
"Himachal Pradesh",2007,0.0534251666735806
"Himachal Pradesh",2008,0.0355971638534793
"Himachal Pradesh",2009,0.0991840032800138
"Himachal Pradesh",2010,0.0983611402246778
"Himachal Pradesh",2011,0.0422367355102571
"Himachal Pradesh",2012,0.0833613521504946
"Himachal Pradesh",2013,0.0833940331513556
"Himachal Pradesh",2014,0.0990828152028147
"Himachal Pradesh",2015,0.0475076700361647
"Himachal Pradesh",2016,0.0368258666282681
"Himachal Pradesh",2017,0.0436344013603298
"Himachal Pradesh",2018,0.00827716047135585
"Himachal Pradesh",2019,0.046443023264799
"Himachal Pradesh",2020,0.026276709953482
"Himachal Pradesh",2021,0.0711185680331905
"Himachal Pradesh",2022,0.0547052257785303
"Himachal Pradesh",2023,0.0360964684903644
"Himachal Pradesh",2024,0.214353468705796
"Jammu and Kashmir",1971,-0.0166041550520353
"Jammu and Kashmir",1972,0.113093099104016
"Jammu and Kashmir",1973,0.215958763006342
"Jammu and Kashmir",1974,0.275560711919436
"Jammu and Kashmir",1975,0.166819535582696
"Jammu and Kashmir",1976,-0.0933650870335425
"Jammu and Kashmir",1977,0.0396366412235283
"Jammu and Kashmir",1978,0.00788958727516231
"Jammu and Kashmir",1979,0.000491038556392986
"Jammu and Kashmir",1980,0.0860290586395189
"Jammu and Kashmir",1981,0.0897665869194748
"Jammu and Kashmir",1982,0.100034436305773
"Jammu and Kashmir",1983,0.126521035363535
"Jammu and Kashmir",1984,0.0708078135462236
"Jammu and Kashmir",1985,0.0235767305639971
"Jammu and Kashmir",1986,0.0788125608780312
"Jammu and Kashmir",1987,0.0724105474887864
"Jammu and Kashmir",1988,0.0927622290576009
"Jammu and Kashmir",1989,0.0334879689903165
"Jammu and Kashmir",1990,0.0731940838190228
"Jammu and Kashmir",1991,0.121108379568097
"Jammu and Kashmir",1992,0.112186480728226
"Jammu and Kashmir",1993,0.100257973781895
"Jammu and Kashmir",1994,0.10437291337769
"Jammu and Kashmir",1995,0.0602356104635007
"Jammu and Kashmir",1997,0.075106823557749
"Jammu and Kashmir",1998,0.119727930920989
"Jammu and Kashmir",1999,0.0812376888952029
"Jammu and Kashmir",2000,0.0352011314843619
"Jammu and Kashmir",2001,0.00816539367088875
"Jammu and Kashmir",2002,0.0226140290011596
"Jammu and Kashmir",2003,0.033951239882196
"Jammu and Kashmir",2004,-0.00433213673913446
"Jammu and Kashmir",2005,0.0214754137255717
"Jammu and Kashmir",2006,0.0586786091370373
"Jammu and Kashmir",2007,0.0750298216396699
"Jammu and Kashmir",2008,0.0612804312180133
"Jammu and Kashmir",2009,0.12440871062852
"Jammu and Kashmir",2010,0.119801199812621
"Jammu and Kashmir",2011,0.0751616729676217
"Jammu and Kashmir",2012,0.0759411532353829
"Jammu and Kashmir",2013,0.10095522218991
"Jammu and Kashmir",2014,0.0649006244444275
"Jammu and Kashmir",2015,0.0286233217923053
"Jammu and Kashmir",2016,0.0355480145744584
"Jammu and Kashmir",2017,0.0348296452719641
"Jammu and Kashmir",2018,0.0336572603118395
"Jammu and Kashmir",2019,0.0650055090437931
"Jammu and Kashmir",2020,0.0394130897923555
"Jammu and Kashmir",2021,0.0730706989642087
"Jammu and Kashmir",2022,0.0678652311714254
"Jammu and Kashmir",2023,0.0437581415441448
"Jammu and Kashmir",2024,0.210547286485306
"Karnataka",1971,0.0316649146439687
"Karnataka",1972,0.0327898228229904
"Karnataka",1973,0.217850977948441
"Karnataka",1974,0.224490352864589
"Karnataka",1975,0.128167097782084
"Karnataka",1976,-0.172190712696602
"Karnataka",1977,0.0703234439230229
"Karnataka",1978,-0.0697610142119096
"Karnataka",1979,0.0448061753187377
"Karnataka",1980,0.14256306465487
"Karnataka",1981,0.222304038182491
"Karnataka",1982,0.0142687494507561
"Karnataka",1983,0.080735978027211
"Karnataka",1984,0.0855110440872817
"Karnataka",1985,0.023102829462462
"Karnataka",1986,0.0077349289866584
"Karnataka",1987,0.045626870123348
"Karnataka",1988,0.166365448247073
"Karnataka",1989,0.107216528694287
"Karnataka",1990,0.00383541098079565
"Karnataka",1991,0.167853031777524
"Karnataka",1992,0.210300191896675
"Karnataka",1993,-0.0101676643222541
"Karnataka",1994,0.0582260580207725
"Karnataka",1995,0.188444751432853
"Karnataka",1997,0.0373342948019699
"Karnataka",1998,0.0885112867590499
"Karnataka",1999,0.064396384828612
"Karnataka",2000,-0.00480898602444757
"Karnataka",2001,-0.0276965843804842
"Karnataka",2002,0.0396759636283051
"Karnataka",2003,0.058333812876274
"Karnataka",2004,0.0321776502356483
"Karnataka",2005,-0.0185416387751136
"Karnataka",2006,0.0324640912150089
"Karnataka",2007,0.104692831542979
"Karnataka",2008,0.104093074751753
"Karnataka",2009,0.144235171350953
"Karnataka",2010,0.113400458217545
"Karnataka",2011,0.129542436541676
"Karnataka",2012,0.0995641616607807
"Karnataka",2013,0.136499634637597
"Karnataka",2014,0.0507641087503732
"Karnataka",2015,0.0747345893217091
"Karnataka",2016,0.0674850405544634
"Karnataka",2017,0.0753473680001324
"Karnataka",2018,-0.0172011121345648
